entry,company,date,week,location,Position,Title
1,New York Life,9-Oct,1,Dallas,Head of Data Governance for Enterprise Data Management,Other
2,Sabre,9-Oct,1,South Lake,Manager Software Development-00XY6.,Manager
3,Lanyon,10-Oct,1,Dallas,Director  Software Development | (US-TX-Dallas),Director
4,PennyMac,10-Oct,1,Fort Worth,First Vice President  Application Development,Vice Pres
5,CoreLogic,10-Oct,1,WestLake,Dir  Software Engineering,Director
6,RealPage  Inc. ,Oct-1,2,,Vice President  Information Systems,Vice Pres
7,Omni Hotels,12-Oct,2,,ETL and Integration Developer,Developer
8,Broadridge,13-Oct,2,,Director of Development- Streamweaver.,Director
9,CyberCoders,13-Oct,2,Irving,VP of Software Engineering - .NET  Management  .NET Stack,Vice Pres
10,Hilton,13-Oct,2,,Manager BI Development,Manager
11,Veritude,14-Oct,2,,Sr. Manager  Software Engineering Development Management,Manager
12,Princeton Information,15-Oct,2,,Senior IT Program Manager,Manager
13,Fidelity Investments,15-Oct,2,,Senior Manager  Software Engineering Development Management – eServices Technical Leadership,Manager
14,Fidelity Investments,15-Oct,2,,Software Development  Team Lead,Other
15,Neiman Marcus ,15-Oct,2,,IT Director  Integration and Data Warehousing,Director
16,Neiman Marcus ,15-Oct,2,,IT Director  Mobile (iOS) Application Development  Point of Commerce and Payment Systems,Director
17,Fiserv,15-Oct,2,,Software Development  Team Lead,Other
18,Watson Health,15-Oct,2,Irving,Manager  Software Engineering Phytel,Manager
19,New York Life,16-Oct,2,Dallas,Head of Solutions Delivery & ASM (22127),Other
20,RBA,16-Oct,2,,SSIS and / or BI,Other
21,Oracle,19-Oct,3,,Software Development VP,Vice Pres
22,MultiPlan,19-Oct,3,Irving,Director  Applications Development (Healthcare Insurance) ,Director
23,VHA-UHC Alliance NewCo  Inc.,19-Oct,3,,Director-Applications Delivery & Development,Director
24,MedSynergies,19-Oct,3,,Director  Application Support and Development ,Director
25,JP Morgan,19-Oct,3,,VP Application Development Manager,Manager
26,HireFinders  Inc.,19-Oct,3,,Director of Application Support (Information Technology),Director
27,Epsilon,19-Oct,3,,Director  Development,Director
28,Robert Half,20-Oct,3,,Director of Mobile Applications Development,Director
