Last Name,First Name,Age,Class,Passenger or Crew,Role,Survivor
ABBING/ Mr Anthony ,41,3rd Class,Passenger,,F
ABBOTT/ Mr Ernest Owen ,21,Victualling,Crew,,F
ABBOTT/ Mr Eugene Joseph ,13,3rd Class,Passenger,,F
ABBOTT/ Mr Rossmore Edward ,16,3rd Class,Passenger,,F
ABBOTT/ Mrs Rhoda Mary 'Rosa' ,39,3rd Class,Passenger,,T
ABELSETH/ Miss Kalle (Karen) Marie Kristiane ,16,3rd Class,Passenger,,T
ABELSETH/ Mr Olaus Jørgensen ,25,3rd Class,Passenger,,T
ABELSON/ Mr Samuel ,30,2nd Class,Passenger,,F
ABELSON/ Mrs Anna ,28,2nd Class,Passenger,,T
ABĪ SA'B/ Mr Jirjis Yūsuf ,45,3rd Class,Passenger,,F
ABĪ SA'B/ Mrs Sha'nīnah ,38,3rd Class,Passenger,,T
ABĪ SHADĪD/ Mr Dāhir ,19,3rd Class,Passenger,,F
ABĪ-AL-MUNÀ/ Mr Nāsīf Qāsim ,27,3rd Class,Passenger,,T
ABRAHAMSSON/ Mr August Abraham Johannes ,19,3rd Class,Passenger,,T
ABRAMS/ Mr William Thomas ,34,Engineering,Crew,,F
ÅDAHL/ Mr Mauritz ,30,3rd Class,Passenger,,F
ADAMS/ Mr John ,26,3rd Class,Passenger,,F
ADAMS/ Mr Robert John ,26,Engineering,Crew,,F
AHIER/ Mr Percy Snowden ,20,Victualling,Crew,,F
AHLIN/ Mrs Johanna Persdotter ,40,3rd Class,Passenger,,F
AHMED/ Mr Ali ,24,3rd Class,Passenger,,F
ÄIJÖ-NIRVA/ Mr Isakki Antonpoika ,41,3rd Class,Passenger,,F
AKERMAN/ Mr Albert Edward ,31,Victualling,Crew,,F
AKERMAN/ Mr Joseph Francis ,37,Victualling,Crew,,F
AKS/ Master Philip ,0.83,3rd Class,Passenger,,T
AKS/ Mrs Leah ,21,3rd Class,Passenger,,T
AL-BA'QLĪNĪ/ Miss Hilānah ,2,3rd Class,Passenger,,T
AL-BA'QLĪNĪ/ Miss Mārīyā ,5,3rd Class,Passenger,,T
AL-BA'QLĪNĪ/ Miss Ūwjīnīyā ,3,3rd Class,Passenger,,T
AL-BA'QLĪNĪ/ Mrs Laṭīfah ,23,3rd Class,Passenger,,T
AL-MUNÀ/ Mr Farīd Husayn Qāsim ,19,3rd Class,Passenger,,F
AL-ZA'INNĪ/ Mr Fahīm Rūḥānā ,25,3rd Class,Passenger,,T
ALDWORTH/ Mr Augustus Henry ,35,2nd Class,Passenger,Servant,F
ALEXANDER/ Mr William Albert ,24,3rd Class,Passenger,,F
ALHOMÄKI/ Mr Ilmari Rudolf ,19,3rd Class,Passenger,,F
ALI/ Mr William ,25,3rd Class,Passenger,,F
ALLARIA/ Sig. Battista Antonio ,22,Restaurant Staff,Crew,,F
ALLEN/ Miss Elisabeth Walton ,29,1st Class,Passenger,,T
ALLEN/ Mr Ernest Frederick ,24,Engineering,Crew,,T
ALLEN/ Mr George ,26,Victualling,Crew,,F
ALLEN/ Mr Henry ,30,Engineering,Crew,,F
ALLEN/ Mr Robert Spencer ,35,Victualling,Crew,,F
ALLEN/ Mr William Henry ,39,3rd Class,Passenger,,F
ALLISON/ Master Hudson Trevor ,0.92,1st Class,Passenger,,T
ALLISON/ Miss Helen Loraine ,2,1st Class,Passenger,,F
ALLISON/ Mr Hudson Joshua Creighton ,30,1st Class,Passenger,,F
ALLISON/ Mrs Bess Waldo ,25,1st Class,Passenger,,F
ALLSOP/ Mr Alfred Samuel ,36,Engineering,Crew,,F
ALLSOP/ Mr Frank Richard ,43,Victualling,Crew,,F
ALLUM/ Mr Owen George ,17,3rd Class,Passenger,,F
ANDERSEN-JENSEN/ Miss Carla Christine Nielsine ,19,3rd Class,Passenger,,T
ANDERSEN/ Mr Albert Kaurin ,33,3rd Class,Passenger,,F
ANDERSON/ Mr Henry ,42,1st Class,Passenger,,T
ANDERSON/ Mr John ,42,Deck,Crew,,T
ANDERSON/ Mr Walter Yuill ,50,Victualling,Crew,,F
ANDERSSON/ Master Sigvard Harald Elias ,4,3rd Class,Passenger,,F
ANDERSSON/ Miss Ebba Iris Alfrida ,6,3rd Class,Passenger,,F
ANDERSSON/ Miss Ellis Anna Maria ,2,3rd Class,Passenger,,F
ANDERSSON/ Miss Erna Alexandra ,16,3rd Class,Passenger,,T
ANDERSSON/ Miss Ida Augusta Margareta ,38,3rd Class,Passenger,,F
ANDERSSON/ Miss Ingeborg Constanzia ,9,3rd Class,Passenger,,F
ANDERSSON/ Miss Sigrid Elisabeth ,11,3rd Class,Passenger,,F
ANDERSSON/ Mr Anders Johan ,39,3rd Class,Passenger,,F
ANDERSSON/ Mr Johan Samuel ,26,3rd Class,Passenger,,F
ANDERSSON/ Mrs Alfrida Konstantia Brogren ,39,3rd Class,Passenger,,F
ANDREASSON/ Mr Pål Edvin ,20,3rd Class,Passenger,,F
